anio;RENIPRESS;EESS;Ubigeo_Declarado_Paciente;Distrito_RH_Paciente;Codigo_Item;Codigo_Item_F;Descripcion_Item;id_genero;grupo_edad;cie;desc_grupo;TOTAL
2025;000002879;HUANUARA;220404;HUANUARA;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;2
2025;000002913;LOCUMBA;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;12-17a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002924;RAMON COPAJA;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;2
2025;000002914;INCLAN;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;1-4a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002914;INCLAN;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;12-17a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002914;INCLAN;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;6
2025;000002914;INCLAN;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;7
2025;000002914;INCLAN;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;60a+;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;3
2025;000002914;INCLAN;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;12-17a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002914;INCLAN;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;M;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;2
2025;000002874;CANDARAVE;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;18-29a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;1
2025;000002874;CANDARAVE;220402;CAIRANI;E660;E66;OBESIDAD DEBIDA A EXCESO DE CALORIAS;F;30-59a;E65 - E68;OBESIDAD Y OTROS DE HIPERALIMENTACION;2
